,Importance
shipping_delay,0.24832686808384188
segment_Corporate,0.2213539714120785
sub-category_Copiers,0.15498991978909807
sub-category_Machines,0.09779360285228328
category_Office Supplies,0.05583304214810521
region_East,0.03942292896671605
region_South,0.03595086651752233
sub-category_Furnishings,0.035756680515074704
segment_Home Office,0.029921559919691507
region_West,0.026333839090279407
category_Technology,0.021152974982139222
sub-category_Storage,0.011211110731107516
sub-category_Phones,0.006013744499464584
sub-category_Appliances,0.0033181663394665916
sub-category_Supplies,0.0026447779164105196
sub-category_Binders,0.0026338039129366643
sub-category_Bookcases,0.002560543667313032
sub-category_Chairs,0.002312155646000208
sub-category_Tables,0.0017359556474835852
sub-category_Labels,0.00037209944233854424
sub-category_Paper,0.00018545962925774163
sub-category_Envelopes,9.082383899077739e-05
sub-category_Art,4.486544700550566e-05
sub-category_Fasteners,4.02390053945366e-05
