,Importance
shipping_delay,0.27321342516766967
sub-category_Copiers,0.1376100597235314
segment_Corporate,0.134928186706329
sub-category_Machines,0.08346005738470856
region_East,0.07006062672218728
region_West,0.05924845105900559
category_Office Supplies,0.057639355290148984
segment_Home Office,0.05428480899735722
region_South,0.04228235863923095
sub-category_Furnishings,0.03351878493737757
category_Technology,0.020056523115965827
sub-category_Storage,0.010364171609351776
sub-category_Phones,0.0054725916324464725
sub-category_Appliances,0.0032959264020312653
sub-category_Tables,0.003276798118841835
sub-category_Chairs,0.00315226145635722
sub-category_Bookcases,0.0026808116340814496
sub-category_Binders,0.002556246938419876
sub-category_Supplies,0.0023645050999859026
sub-category_Paper,0.00016880213506138527
sub-category_Labels,0.00013191235764209176
sub-category_Art,0.00010697779388841433
sub-category_Envelopes,8.303588409882843e-05
sub-category_Fasteners,4.33211942814943e-05
