CustomerID,Recency,Frequency,Monetary,Cluster
AA-10315,185,5,5563.56,2
AA-10375,20,9,1056.39,0
AA-10480,260,4,1782.872,2
AA-10645,56,6,4455.895,0
AB-10015,416,3,886.156,1
AB-10060,55,7,7732.669999999999,3
AB-10105,42,9,14355.610999999999,3
AB-10150,42,5,966.71,2
AB-10165,26,8,1113.838,0
AB-10255,167,9,898.084,0
AB-10600,51,4,1515.862,2
AC-10420,233,3,891.56,2
AC-10450,12,7,5527.846,0
AC-10615,120,4,2499.756,2
AC-10660,283,5,657.316,2
AD-10180,30,7,6101.0,0
AF-10870,42,7,2052.908,0
AF-10885,416,4,861.565,1
AG-10270,279,5,2565.2580000000003,2
AG-10300,119,4,349.26,2
AG-10330,9,5,660.972,2
AG-10390,115,5,200.945,2
AG-10495,79,7,1401.071,0
AG-10525,845,4,1448.942,1
AG-10675,98,7,3489.0396000000005,0
AG-10765,78,3,137.296,2
AG-10900,97,10,4510.797,0
AH-10030,13,7,1744.7,0
AH-10075,35,10,3250.337,0
AH-10120,61,7,1735.5140000000001,0
AH-10195,56,4,1587.452,2
AH-10210,7,9,4805.344,0
AH-10465,231,4,2406.4316,2
AH-10585,22,4,738.504,2
AH-10690,411,12,7888.294,3
AI-10855,14,10,4375.786,0
AJ-10780,76,7,4867.344,0
AJ-10795,167,6,4391.491,0
AJ-10945,122,6,1829.896,2
AJ-10960,75,3,629.2479999999999,2
AM-10360,29,5,814.012,2
AM-10705,163,8,5653.862,0
AO-10810,502,1,161.28,1
AP-10720,42,6,545.932,2
AP-10915,99,10,3323.556,0
AR-10345,112,4,1055.694,2
AR-10405,126,5,2236.128,2
AR-10510,15,5,264.86400000000003,2
AR-10540,7,6,6608.448,3
AR-10570,535,1,88.15,1
AR-10825,59,8,4523.336,0
AS-10045,89,7,3035.032,0
AS-10090,29,9,3255.31,0
AS-10135,42,2,58.82,2
AS-10225,23,5,4249.0,2
AS-10240,193,5,503.968,2
AS-10285,20,6,3212.272,2
AS-10630,93,7,833.398,2
AT-10435,22,5,1166.0720000000001,2
AT-10735,14,10,3831.864,0
AW-10840,21,4,649.376,2
AW-10930,47,7,2851.444,0
AY-10555,15,4,497.014,2
AZ-10750,161,6,1622.0179999999998,2
BB-10990,106,5,735.52,2
BB-11545,29,9,6765.728,3
BC-11125,203,9,2933.676,0
BD-11320,34,11,5672.171,0
BD-11500,36,6,4408.297,0
