Feature,Importance
Unnamed: 0,0.07792167410058762
gender,0.012697383214224778
seniorcitizen,0.014138313359536157
partner,0.012607189148284147
dependents,0.014451379891700526
tenure,0.15623606335900644
phoneservice,0.004301027184687721
multiplelines,0.01772780903048932
internetservice,0.04299971770333518
onlinesecurity,0.06692360753352383
onlinebackup,0.028347828146758635
deviceprotection,0.022007721748129153
techsupport,0.052260549702192446
streamingtv,0.012803308249234906
streamingmovies,0.013797655779024618
contract,0.14074931186799225
paperlessbilling,0.019189102700670993
paymentmethod,0.035450451312598094
monthlycharges,0.1254571537279792
totalcharges,0.12993275224004402
